,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
1268,facebook will never strip away mark zuckerberg’s power,trust,"[[""mark zuckerberg’s power"",""will never strip away mark zuckerberg’s power""]]",mark zuckerberg’s power,7,13,14
4366,ag barr orders first federal executions since 2003. here are the first 5 people in line.,disgust,"[[""first""]]",first,6,6,2
3579,"more children around the world are being taught in english, often badly",positive_surprise,"[[""being taught in english, often badly""]]","being taught in english, often badly",7,15,10
3584,no mercy: how a kansas town is grappling with its hospital's closure,sadness,"[[""with its hospital's closure"",""grappling with its hospital's closure""]]",with its hospital's closure,14,19,12
1728,"on public lands, visitors surge while federal management funds decline",negative_anticipation_including_pessimism,"[[""visitors surge while federal management funds decline""]]",visitors surge while federal management funds decline,5,11,7
2087,israeli spacecraft fails to land on the moon,negative_surprise,"[[""fails to land on the moon""]]",fails to land on the moon,5,10,8
3209,"rep. omar to repay taxes, fine in marriage flap",positive_anticipation_including_optimism,"[[""fine in marriage flap""]]",fine in marriage flap,10,13,9
4695,security brief: bolton’s warning to iran,negative_anticipation_including_pessimism,"[[""bolton’s warning to iran""]]",bolton’s warning to iran,4,11,7
3595,regulators cut banks some slack on libor shift,negative_surprise,"[[""cut banks some slack on libor shift""]]",cut banks some slack on libor shift,3,11,8
669,asylum officers ask court to block trump program that's 'contrary to the moral fabric of our nation',disgust,"[[""block trump program that's 'contrary to the moral fabric of our nation'""]]",block trump program that's 'contrary to the moral fabric of our nation',6,22,2
3139,developers want to destroy chicago. we won’t let them.,anger,"[[""want to destroy chicago"",""we won’t let them.""]]",want to destroy chicago,2,7,0
1020,immigrants in us military denied citizenship more often than civilians,negative_surprise,"[[""in us military denied citizenship more often than civilians"",""denied citizenship more often than civilians""]]",in us military denied citizenship more often than civilians,2,10,8
3626,trump immigration chief caught pretending not to know about his racist tweets,negative_surprise,"[[""caught pretending not to know about his racist tweets""]]",caught pretending not to know about his racist tweets,5,15,8
4808,mike lee’s new bill would enforce ‘no regulation without representation’,positive_anticipation_including_optimism,"[[""‘no regulation without representation’""]]",‘no regulation without representation’,11,16,9
220,joe biden brags about past 'civility' with racist former dem senators—now his 2020 opponents are on the attack,positive_anticipation_including_optimism,"[[""his 2020 opponents are on the attack""],[""with racist former dem""]]",his 2020 opponents are on the attack,20,26,9
2499,"british airways pilots' strike gets the go-ahead, sparking fears of chaos at heathrow",fear,"[[""british airways pilots' strike gets the go-ahead, sparking fears of chaos at heathrow""]]","british airways pilots' strike gets the go-ahead, sparking fears of chaos at heathrow",1,23,3
584,feds say former va employee used vets’ ailing kids to scam millions,disgust,"[[""used vets’ ailing kids to scam millions""]]",used vets’ ailing kids to scam millions,8,18,2
3870,real sanctuary demands more than lip service. cities must step up.,negative_surprise,"[[""more than lip service. cities must step up.""]]",more than lip service. cities must step up.,4,13,8
484,"on venezuela, america should check its regime change impulses at the door",sadness,"[[""america should check its regime change impulses at the door"",""should check its regime change impulses at the door""]]",america should check its regime change impulses at the door,7,19,12
3231,"the mueller report is part spy thriller, part game of thrones—with footnotes",annoyance,"[[""part spy""]]",part spy,7,8,1
924,all-female spacewalk cancelled over spacesuit sizes,negative_surprise,"[[""all-female spacewalk cancelled over spacesuit sizes""]]",all-female spacewalk cancelled over spacesuit sizes,1,10,8
2015,judge suspended without pay for 6 months after making anti-trump remarks in court and on facebook,anger,"[[""making anti-trump remarks in court and on facebook""]]",making anti-trump remarks in court and on facebook,9,20,0
4391,an alarming kids’ health report shows cities must act now on traffic pollution,negative_surprise,"[[""an alarming kids’ health report shows cities must act now on traffic pollution"",""health report shows cities must act now on traffic pollution""]]",an alarming kids’ health report shows cities must act now on traffic pollution,1,15,8
2759,clarence thomas: from 'black panther type' to supreme court's conservative beacon,negative_surprise,"[[""clarence thomas: from 'black panther type' to supreme court's conservative beacon""]]",clarence thomas: from 'black panther type' to supreme court's conservative beacon,1,21,8
2847,scientists restore some function in the brains of dead pigs,positive_surprise,"[[""restore some function""]]",restore some function,2,4,10
721,former canadian ag taped conversation of trudeau official pressuring her to interfere in legal case,negative_surprise,"[[""former canadian ag taped conversation of trudeau official pressuring her to interfere in legal case""]]",former canadian ag taped conversation of trudeau official pressuring her to interfere in legal case,1,21,8
4673,house passes mass amnesty bill which would give millions of illegal immigrants a path to citizenship,positive_surprise,"[[""house passes mass amnesty bill which would give millions of illegal immigrants a path to citizenship""]]",house passes mass amnesty bill which would give millions of illegal immigrants a path to citizenship,1,18,10
4203,"rabalais: as expectations shift for lsu football, tigers continue to 'block out the noise'",pride,"[[""as expectations shift for lsu football, tigers continue to 'block out the noise'""]]","as expectations shift for lsu football, tigers continue to 'block out the noise'",6,23,11
4480,the state that liberal dreams are made of,guilt,"[[""the state that liberal dreams are made of""]]",the state that liberal dreams are made of,1,8,4
2674,‘the biggest piece mueller left out’,guilt,"[[""the biggest piece mueller left out""]]",the biggest piece mueller left out,2,9,4
1129,"scarred by sinema's senate win, team trump makes early moves to keep az red",fear,"[[""team trump makes early moves to keep az red""]]",team trump makes early moves to keep az red,10,20,3
3554,iran still doesn’t want an escalation,fear,"[[""doesn’t want an escalation""]]",doesn’t want an escalation,4,11,3
3749,pelosi and schumer hate bds more than ultranationalism,anger,"[[""hate bds more than ultranationalism""]]",hate bds more than ultranationalism,8,15,0
1092,paul mpagi sepuya mines the queer history of the portrait studio,pride,"[[""queer history of the portrait studio""]]",queer history of the portrait studio,11,17,11
1132,selma blair says she’s getting 'seemingly sicker' with ms in instagram post,trust,"[[""ms in instagram post""]]",ms in instagram post,16,22,14
159,the new republic continues expansion with editorial hires,positive_surprise,"[[""continues expansion with editorial hires""]]",continues expansion with editorial hires,4,9,10
4322,donald trump’s impeachment turns crucial corner,negative_anticipation_including_pessimism,"[[""donald trump’s impeachment turns crucial corner""]]",donald trump’s impeachment turns crucial corner,1,12,7
320,review: ‘for the good of the game’,positive_anticipation_including_optimism,"[[""for the good of the game""]]",for the good of the game,4,9,9
3652,‘she’s republican-ing extra hard’! ana navarro intervenes to distract from ‘pelosi vs. squad’ melee,negative_surprise,"[[""vs. squad’ melee""]]",vs. squad’ melee,26,31,8
1182,this billboard is being criticized for inciting violence against “the squad”,negative_surprise,"[[""for inciting violence against “the squad”""]]",for inciting violence against “the squad”,7,15,8
1853,global $397.2 bn facade systems (residential and non-residential) market 2018-2019 & forecasts to 2023,positive_anticipation_including_optimism,"[[""global $397.2 bn facade systems (residential and non-residential) market 2018-2019 & forecasts to 2023""]]",global $397.2 bn facade systems (residential and non-residential) market 2018-2019 & forecasts to 2023,1,27,9
794,north korean official reportedly purged seen back in public alongside kim jong un,annoyance,"[[""seen back in public alongside kim jong un""]]",seen back in public alongside kim jong un,10,19,1
2521,glencore’s congo tragedy highlights security conundrum for miners,fear,"[[""tragedy highlights security conundrum for miners""]]",tragedy highlights security conundrum for miners,8,15,3
4222,donald trump is mad at the european central bank,anger,"[[""is mad at the european central bank""]]",is mad at the european central bank,5,13,0
3150,fears grow for missing 15-year-old schoolgirl,fear,"[[""missing 15-year-old schoolgirl""]]",missing 15-year-old schoolgirl,4,11,3
1760,teaching in an era of meritocracy,shame,"[[""teaching in an era of meritocracy""]]",teaching in an era of meritocracy,1,8,13
1296,rashida tlaib spouts politically correct anti-semitism for the 21st century,negative_anticipation_including_pessimism,"[[""spouts politically correct anti-semitism for the 21st century""]]",spouts politically correct anti-semitism for the 21st century,7,19,7
3542,former us attorney preet bharara slams rudy giuliani for downplaying impact of campaign taking info from russia,disgust,"[[""downplaying impact of campaign taking info from russia""]]",downplaying impact of campaign taking info from russia,19,30,2
2874,the missouri river flood hits a historic native american homeland,negative_surprise,"[[""flood hits a historic native american homeland"",""the missouri river flood hits a historic native american homeland""]]",flood hits a historic native american homeland,6,14,8
4940,a ‘bible tax’: christian publishers warn that china tariffs could lead to costly bibles,negative_anticipation_including_pessimism,"[[""christian publishers warn that china tariffs could lead to costly bibles""]]",christian publishers warn that china tariffs could lead to costly bibles,8,24,7
4640,laura yeager to make history as first woman to command army infantry division,pride,"[[""make history as first woman to command army infantry division"",""first woman to command army infantry division""]]",make history as first woman to command army infantry division,6,15,11
4784,"william and kate’s police convoy hits woman, 83, who is hospitalized in serious condition",sadness,"[[""william and kate’s police convoy hits woman, 83""]]","william and kate’s police convoy hits woman, 83",1,13,12
3267,'no more old men in uniform': on the ground with sudan's protesters,annoyance,"[[""on the ground with sudan's protesters""]]",on the ground with sudan's protesters,10,18,1
2891,"u.s. women's soccer team wins world cup, criticizing pay discrimination and president trump",annoyance,"[[""criticizing pay discrimination""]]",criticizing pay discrimination,14,16,1
1499,"prices for top-selling drugs soared over 6 years, study finds",negative_anticipation_including_pessimism,"[[""prices for top-selling drugs""]]",prices for top-selling drugs,1,6,7
2742,amir khan's parents say boxer hasn't spoken them for six months,sadness,"[[""boxer hasn't spoken them for six months""]]",boxer hasn't spoken them for six months,9,17,12
2569,states are finding new ways of killing enemies abroad,fear,"[[""are finding new ways""]]",are finding new ways,2,5,3
3551,immigration facility volunteer: ‘prison-like’ and ‘concentration camp’ claims are flat-out false,disgust,"[[""prison-like’ and ‘concentration camp’ claims are flat-out false""]]",prison-like’ and ‘concentration camp’ claims are flat-out false,6,20,2
1110,psychedelic tourism is a niche but growing market,annoyance,"[[""niche but growing market""]]",niche but growing market,5,8,1
3479,hong kong protesters have stormed the streets and graffitied the country’s legislative building — here are shocking pictures of the city takeover,anger,"[[""stormed the streets""]]",stormed the streets,7,9,0
2397,donald trump is even more racist than you thought: part ii,anger,"[[""more racist than you thought""]]",more racist than you thought,7,11,0
4870,new zealand prime minister does ‘not understand’ why us doesn’t tighten gun laws,disgust,"[[""does ‘not understand’ why us doesn’t tighten gun laws""]]",does ‘not understand’ why us doesn’t tighten gun laws,7,19,2
3883,the trump campaign pitches its crypto-majority argument to women,negative_surprise,"[[""campaign pitches its crypto-majority argument to women""]]",campaign pitches its crypto-majority argument to women,4,14,8
842,the intellectual assault on our national identity,annoyance,"[[""on our national identity""]]",on our national identity,4,7,1
1450,iran stepping back after preparing to attack us forces,negative_anticipation_including_pessimism,"[[""preparing to attack us forces""]]",preparing to attack us forces,6,10,7
663,"amid calls for new special counsel, silence on internal probe of fbi, doj abuses",anger,"[[""silence on internal probe of fbi, doj abuses""]]","silence on internal probe of fbi, doj abuses",8,18,0
1966,boris johnson's busy agenda raises uk election speculation,negative_anticipation_including_pessimism,"[[""raises uk election speculation""]]",raises uk election speculation,10,13,7
4665,"farage's brexit party smashes 100,000 registered supporters target, aims to pass tory party",disgust,"[[""registered supporters""]]",registered supporters,14,15,2
1582,what the french revolution teaches us about the dangers of gerrymandering,fear,"[[""teaches us about the dangers of gerrymandering""]]",teaches us about the dangers of gerrymandering,6,15,3
532,"the new, crucial role the california primary could have in 2020, explained",positive_surprise,"[[""could have in 2020, explained""]]","could have in 2020, explained",13,18,10
3341,jeffrey epstein pleads not guilty to sex trafficking charges,guilt,"[[""sex trafficking charges"",""pleads not guilty to sex trafficking charges""]]",sex trafficking charges,12,14,4
4986,the real reason eric swalwell is dropping out,negative_surprise,"[[""the real reason"",""the real reason eric swalwell is dropping out""]]",the real reason,1,3,8
3160,house oversight committee threatens salaries of interior staff who block interviews,annoyance,"[[""block interviews""]]",block interviews,10,11,1
4879,twitter files motion to dismiss nunes suit: twitter user rules are not 'political',annoyance,"[[""twitter user rules are not 'political'"",""to dismiss nunes suit: twitter user rules are not 'political'""]]",twitter user rules are not 'political',12,21,1
4743,"depression is on the rise among millennials, but 20% of them don't seek treatment — and it's likely because they can't afford it",sadness,"[[""but 20% of them don't seek treatment""],[""depression""]]",but 20% of them don't seek treatment,11,20,12
4312,alabama legislature passes bill requiring chemical castration for child sex offenders,annoyance,"[[""passes bill requiring chemical castration for child sex offenders""]]",passes bill requiring chemical castration for child sex offenders,5,14,1
3989,chicago elects its first black woman mayor,joy,"[[""elects its first black woman mayor""]]",elects its first black woman mayor,4,10,5
1371,bipartisan rage at fbi for hiding details of russia cyberattack on fl elections,anger,"[[""fbi for hiding details of russia cyberattack on fl elections"",""hiding details of russia cyberattack on fl elections""]]",fbi for hiding details of russia cyberattack on fl elections,7,23,0
1509,scientists want to inspire public conversations about death,fear,"[[""conversations about death""],[""public""],[""want to inspire""]]",conversations about death,6,8,3
1481,"nj millionaires tax has no chance, top lawmaker says",negative_surprise,"[[""nj millionaires tax has no chance""]]",nj millionaires tax has no chance,1,9,8
4253,nypd investigating megan rapinoe posters vandalized with homophobic slurs,anger,"[[""homophobic slurs""]]",homophobic slurs,16,21,0
4664,elizabeth warren’s trillion-dollar big business tax plan would cost amazon $698m+ every year,positive_surprise,"[[""cost amazon $698m+ every year""]]",cost amazon $698m+ every year,16,26,10
3507,'terrible spring' for allergies in louisiana 'pollen capitals' will improve as pollen levels drop,fear,"[[""will improve as pollen levels drop""]]",will improve as pollen levels drop,18,23,3
2449,‘try again’: nowthis’ attempted gotcha on alabama anti-abortion law ‘might be the dumbest comparison i have ever seen’,annoyance,"[[""comparison i have ever seen’""]]",comparison i have ever seen’,27,32,1
4293,trump rattles saber at china ahead of make-or-break trade talks,anger,"[[""ahead of make-or-break trade talks""]]",ahead of make-or-break trade talks,10,18,0
3072,57 dead in series of brazil prison riots. more than 40 reportedly showed signs of asphyxiation,sadness,"[[""57 dead in series of brazil prison riots""]]",57 dead in series of brazil prison riots,1,10,12
4975,middlebury college cancels speech by polish politician-academic,negative_anticipation_including_pessimism,"[[""cancels speech by polish politician-academic""]]",cancels speech by polish politician-academic,4,13,7
2413,inside iran: iranians on trump and the nuclear deal,negative_anticipation_including_pessimism,"[[""iranians on trump and the nuclear deal""]]",iranians on trump and the nuclear deal,5,14,7
1461,kim jong un accepts trump's invitation to meet at dmz,positive_surprise,"[[""accepts trump's invitation to meet at dmz"",""trump's invitation to meet at dmz""]]",accepts trump's invitation to meet at dmz,6,17,10
4118,rex tillerson to congress: jared kushner went behind my back on foreign policy,sadness,"[[""jared kushner went behind my back on foreign policy""]]",jared kushner went behind my back on foreign policy,8,19,12
1415,federal judge blocks arkansas and kentucky medicaid work requirements,negative_surprise,"[[""blocks arkansas and kentucky medicaid work requirements""]]",blocks arkansas and kentucky medicaid work requirements,3,17,8
4320,donald trump campaign’s latest unofficial surrogate is an alleged murderer,shame,"[[""latest unofficial surrogate is an alleged murderer""]]",latest unofficial surrogate is an alleged murderer,8,15,13
2014,"health workers still aren't alerting police about likely elder abuse, reports find",anger,"[[""elder""]]",elder,12,12,0
1771,the stock market intrudes on the alternate reality of trump’s trade war,fear,"[[""the stock market intrudes on the alternate reality of trump’s trade war""]]",the stock market intrudes on the alternate reality of trump’s trade war,1,17,3
1729,o’rourke blasted for not endorsing texas democratic candidate,disgust,"[[""not endorsing texas democratic candidate"",""for not endorsing texas democratic candidate""]]",not endorsing texas democratic candidate,8,16,2
1021,impeachment and environmental activist tom steyer announces presidential bid,positive_surprise,"[[""announces presidential bid""]]",announces presidential bid,12,14,10
4963,ethiopia is at a ‘very critical juncture’,negative_surprise,"[[""ethiopia is at a ‘very critical juncture’""]]",ethiopia is at a ‘very critical juncture’,1,14,8
3797,u.s. firms are helping build china’s orwellian state,positive_anticipation_including_optimism,"[[""helping build china’s orwellian state""]]",helping build china’s orwellian state,7,16,9
4010,25 reasons why mark zuckerberg has to go,sadness,"[[""has to go"",""25 reasons why mark zuckerberg has to go""]]",has to go,8,10,12
4272,stacey abrams advisor: it’s “exploitative” of biden to talk her up as vp when he didn’t back her in the georgia primary,anger,"[[""talk her up as vp when he didn’t back her in the georgia primary""]]",talk her up as vp when he didn’t back her in the georgia primary,20,38,0
1746,san francisco police got a warrant to monitor a journalist's phone before raiding his apartment,guilt,"[[""phone before raiding his apartment""]]",phone before raiding his apartment,17,21,4
761,judge upholds trump rule expanding non-obamacare plans,negative_surprise,"[[""expanding non-obamacare plans""]]",expanding non-obamacare plans,8,15,8
2386,blackpink: meet the k-pop superstars backstage at their first uk tour,joy,"[[""meet the k-pop superstars backstage at their first uk tour"",""backstage at their first uk tour""]]",meet the k-pop superstars backstage at their first uk tour,5,17,5
1114,read bernie sanders’s 2019 medicare-for-all plan,positive_surprise,"[[""2019 medicare-for-all plan""]]",2019 medicare-for-all plan,9,17,10
2658,suspected credit card thief caught after being captured on security footage wearing tag with real name,guilt,"[[""captured on security footage wearing tag with real name""]]",captured on security footage wearing tag with real name,8,16,4
3042,mexican researcher creates plastic from cactus that is biodegradable and safe to ingest,positive_surprise,"[[""creates plastic from cactus that is biodegradable and safe to ingest""]]",creates plastic from cactus that is biodegradable and safe to ingest,5,20,10
918,abortion debate shows how media deploys language gymnastics to serve left-wing goals,negative_anticipation_including_pessimism,"[[""gymnastics to serve left-wing goals""]]",gymnastics to serve left-wing goals,9,15,7
455,jeffrey epstein prosecutors aided by ‘excellent investigative journalism’,trust,"[[""‘excellent investigative journalism’""]]",‘excellent investigative journalism’,10,14,14
1433,hollywood writers attempt life without agents,positive_surprise,"[[""attempt life without agents"",""life without agents""]]",attempt life without agents,5,8,10
2239,advice columnist: trump raped me in mid-'90s; update: trump responds,anger,"[[""trump raped me in mid-'90s"",""update: trump responds""]]",trump raped me in mid-'90s,4,12,0
645,"u.n. special rapporteur calls for julian assange to be freed, citing ""psychological torture""",sadness,"[[""psychological torture""]]",psychological torture,23,24,12
4425,pro-brexit troll threatened to send tory mp nicky morgan to the burns unit,fear,"[[""send tory mp nicky morgan to the burns unit""]]",send tory mp nicky morgan to the burns unit,9,22,3
4896,dan gainor on big tech censorship: ‘absolutely a threat’ to our democratic republic,fear,"[[""absolutely a threat’ to our democratic republic""]]",absolutely a threat’ to our democratic republic,11,18,3
1243,aoc's chief of staff likens moderate democrats to jim crow supporters,disgust,"[[""moderate democrats to jim crow supporters""]]",moderate democrats to jim crow supporters,10,17,2
986,federal subsidies for insured people under age 65 will total $737 billion this year: cbo,love_including_like,"[[""total $737 billion this""]]",total $737 billion this,11,15,6
1557,trump says pentagon’s $10 billion cloud contract should be investigated. again.,annoyance,"[[""pentagon’s $10 billion cloud contract should be investigated""]]",pentagon’s $10 billion cloud contract should be investigated,4,16,1
1730,pence staffer claims trump can’t be racist because he hired elaine chao,disgust,"[[""can’t be racist because he hired elaine chao""]]",can’t be racist because he hired elaine chao,8,19,2
3208,rapper a$ap rocky freed from swedish jail after u.s. hostage envoy warns of 'negative consequences',positive_surprise,"[[""u.s. hostage envoy warns of 'negative consequences'""]]",u.s. hostage envoy warns of 'negative consequences',14,26,10
2107,"4 americans, 1 canadian die in small plane crash in honduras",sadness,"[[""die in small plane crash in honduras""]]",die in small plane crash in honduras,10,19,12
4116,reddit group becomes flashpoint in sex abuse scandal at la luz del mundo church,sadness,"[[""becomes flashpoint in sex abuse scandal at la luz del mundo church""]]",becomes flashpoint in sex abuse scandal at la luz del mundo church,4,19,12
4634,cory booker's 'second look' reforms would create more chances to reduce federal prison sentences,positive_anticipation_including_optimism,"[[""reforms would create more chances to reduce federal prison sentences""]]",reforms would create more chances to reduce federal prison sentences,11,20,9
3240,"to defeat trump, democrats should nominate michael bennet",positive_anticipation_including_optimism,"[[""democrats should nominate michael bennet""]]",democrats should nominate michael bennet,6,14,9
4794,blame wilbur ross's clumsy lies for the census mess,guilt,"[[""clumsy lies for the census mess""]]",clumsy lies for the census mess,9,14,4
4575,louisiana businesses owed $785 million in unpaid state taxes last year,negative_surprise,"[[""$785 million in unpaid state taxes last year""]]",$785 million in unpaid state taxes last year,7,16,8
511,sri lanka blames easter bombings on local jihadis,guilt,"[[""easter bombings""]]",easter bombings,7,9,4
4426,"russian police arrest more than 1,000 protesters in moscow",disgust,"[[""more than 1,000 protesters in moscow""]]","more than 1,000 protesters in moscow",6,16,2
923,alabama senator to the irs: stop picking on the south,annoyance,"[[""picking on the south""]]",picking on the south,11,14,1
421,ebola outbreak in congo declared a global health emergency,sadness,"[[""ebola outbreak""]]",ebola outbreak,1,4,12
1833,dem rep. goes on morning joe to complain media are 'agents of the republican party',annoyance,"[[""are 'agents of the republican party'""]]",are 'agents of the republican party',13,20,1
1995,pound falls to lowest level in 27 months amid no-deal panic,negative_anticipation_including_pessimism,"[[""Pound falls to lowest level in 27 months""]]",pound falls to lowest level in 27 months,1,8,7
2137,the mysterious case of the disappearing china sanctions,sadness,"[[""disappearing china sanctions""]]",disappearing china sanctions,6,9,12
2965,son heung-min: spurs’ superhero seems to flourish when the pressure is on | eni aluko,positive_surprise,"[[""flourish when the pressure""]]",flourish when the pressure,13,16,10
1207,trump’s made-for-tv moment in north korea,trust,"[[""tv moment in north korea"",""trump’s made-for-tv moment in north korea""]]",tv moment in north korea,9,16,14
1492,politico playbook: how will trump’s race drumbeat play in 2020,positive_surprise,"[[""how will trump’s race drumbeat play in 2020""]]",how will trump’s race drumbeat play in 2020,8,19,10
548,trump masterfully navigates 'send her back' controversy,positive_surprise,"[[""masterfully navigates 'send her back' controversy""]]",masterfully navigates 'send her back' controversy,3,12,10
2487,accused murderer oj simpson launches twitter account – threatens “getting even” — on anniversary week of nicole’s murder,fear,"[[""on anniversary week of nicole’s murder"",""threatens “getting even”""]]",on anniversary week of nicole’s murder,20,29,3
2877,the war has already begun! dems call for arresting americans who criticize congress,anger,"[[""arresting americans who criticize congress""]]",arresting americans who criticize congress,11,19,0
2331,raptors exec allegedly 'pushed' and 'struck' sheriff's deputy after finals game,anger,"[[""sheriff's deputy after finals game"",""allegedly 'pushed' and 'struck' sheriff's deputy after finals game""]]",sheriff's deputy after finals game,13,19,0
1867,"june wti oil loses 41 cents, or 0.6%, to settle at $65.89/bbl",negative_surprise,"[[""loses 41 cents, or 0.6%, to settle at $65.89/bbl""]]","loses 41 cents, or 0.6%, to settle at $65.89/bbl",6,26,8
4286,trump asserts executive privilege to block release of full mueller report,negative_surprise,"[[""block release of full mueller report""]]",block release of full mueller report,7,14,8
2170,new zealand shooting referenced in new series of anti-muslim attacks,fear,"[[""referenced in new series of anti-muslim""],[""new series of anti-muslim attacks""]]",referenced in new series of anti-muslim,6,15,3
1674,house dems get dark money group after introducing bill against dark money,negative_surprise,"[[""dark money""]]",dark money,5,6,8
1642,congressional democrats hold barr in contempt. trump declares executive privilege. here's everything you need to know.,disgust,"[[""trump declares executive""]]",trump declares executive,10,13,2
658,add trump’s yemen veto to obama’s spotty war legacy,negative_surprise,"[[""obama’s spotty war legacy""]]",obama’s spotty war legacy,10,18,8
3382,saudi business feels ‘pain’ of crown prince’s reforms,fear,"[[""of crown prince’s reforms""]]",of crown prince’s reforms,8,13,3
598,new ira apologizes for journalist’s murder,shame,"[[""journalist’s murder""]]",journalist’s murder,7,10,13
863,"trump's racist attacks are catnip to the republican base, but that doesn't make them a 2020 winner",anger,"[[""but that doesn't make them a 2020 winner""]]",but that doesn't make them a 2020 winner,16,25,0
2560,rhode island is the latest state to abolish onerous hair-braiding licensing,positive_surprise,"[[""abolish onerous hair-braiding licensing""]]",abolish onerous hair-braiding licensing,10,19,10
1304,thread==> byron york explains how robert mueller ‘exposed fatal flaw of trump-russia affair’,disgust,"[[""‘exposed fatal flaw of trump-russia affair’""]]",‘exposed fatal flaw of trump-russia affair’,16,29,2
1253,californians flood gun stores when magazine ban is lifted for one week,fear,"[[""magazine ban is lifted for one week""]]",magazine ban is lifted for one week,10,16,3
4848,retail giant petsmart names peta in spying lawsuit,anger,"[[""spying lawsuit""]]",spying lawsuit,9,10,0
2720,new zealand shooting survivor forgives wife's killer: 'i love him',love_including_like,"[[""wife's""]]",wife's,9,11,6
3470,disturbing video shows clam sushi still moving as it's being served,disgust,"[[""clam sushi still moving as it's being served""]]",clam sushi still moving as it's being served,4,15,2
1677,indonesians fight for their right to not vote,anger,"[[""fight for their right to not vote""]]",fight for their right to not vote,5,11,0
4268,sen. ron wyden demands answers from dhs and private intel firm over spying on anti-trump immigration protests,anger,"[[""spying on anti-trump immigration protests""]]",spying on anti-trump immigration protests,20,27,0
710,drivers should compare car insurance quotes before renewing the contract,anger,"[[""renewing the contract""]]",renewing the contract,8,11,0
806,poll: immigration overtakes health care as top issue for voters,positive_surprise,"[[""immigration overtakes health care as top issue for voters""]]",immigration overtakes health care as top issue for voters,3,13,10
4098,national press awards: guardian and observer win for windrush and cambridge analytica,positive_surprise,"[[""win for windrush and cambridge analytica""]]",win for windrush and cambridge analytica,8,18,10
1119,rep. ro khanna calls for investigation into brazil’s prosecution of lula,negative_surprise,"[[""investigation""]]",investigation,10,10,8
2765,dan crenshaw slams chuck schumer for ‘immature and deeply cynical’ reaction to the deal with mexico,negative_surprise,"[[""‘immature and deeply cynical’ reaction to the deal with mexico""]]",‘immature and deeply cynical’ reaction to the deal with mexico,14,31,8
1462,kindergarten cop actor is arrested for public intoxication in alabama,guilt,"[[""in alabama""]]",in alabama,11,14,4
3096,a top emirati diplomat says uae 'very committed to de-escalation' after alleged sabotage of oil tankers,positive_anticipation_including_optimism,"[[""very committed to de-escalation' after alleged sabotage of oil tankers""]]",very committed to de-escalation' after alleged sabotage of oil tankers,11,26,9
2382,bans on paying for human blood distort a vital global market,negative_anticipation_including_pessimism,"[[""for human blood""],[""distort a vital global market""]]",for human blood,5,7,7
4946,netanyahu's future clouded by rivalry with former ally,negative_anticipation_including_pessimism,"[[""rivalry with former ally""]]",rivalry with former ally,10,13,7
4513,carl benedikt frey: the robot revolution is here. prepare for workers to revolt,negative_anticipation_including_pessimism,"[[""the robot revolution is here"",""prepare for workers to revolt""]]",the robot revolution is here,10,14,7
437,"harriet wran, 30, pleads guilty to drug possession and having stolen goods in her car",guilt,"[[""drug possession and having stolen goods in her car""]]",drug possession and having stolen goods in her car,13,21,4
4655,"beyond meat's stock opens at $46, or 84% above the $25 ipo price",positive_surprise,"[[""beyond meat's stock opens at $46, or 84% above the $25 ipo price""]]","beyond meat's stock opens at $46, or 84% above the $25 ipo price",1,20,10
1694,kamala harris reveals why she could be deadly,positive_surprise,"[[""why she could be deadly""]]",why she could be deadly,8,12,10
2654,"safe climate a constitutional right, young plaintiffs tell court",disgust,"[[""safe climate a constitutional right""]]",safe climate a constitutional right,1,5,2
854,trump appears headed for defeat in effort to block congress from subpoenaing financial records,annoyance,"[[""congress from subpoenaing""]]",congress from subpoenaing,11,16,1
3323,federal judge slaps roger stone with a social media ban for violating a court order,anger,"[[""stone with a social media ban for violating a court order""]]",stone with a social media ban for violating a court order,8,18,0
1684,jeffrey epstein is denied bail in sex trafficking case,guilt,"[[""denied bail in sex trafficking case""]]",denied bail in sex trafficking case,8,13,4
3570,managers of grade ii-listed georgian mansion left their herd of fallow deer to starve to death,disgust,"[[""left their herd of fallow deer to starve to death""]]",left their herd of fallow deer to starve to death,12,23,2
3265,"“no more silence”: her kidnapping, sexual assault and murder stunned a town, and started a movement",negative_surprise,"[[""her kidnapping, sexual assault and murder stunned a town, and started a movement""]]","her kidnapping, sexual assault and murder stunned a town, and started a movement",7,21,8
2601,‘unprecedented’ decline of plants and animals as global ‘red list’ reveals nearly one-third of assessed species are under threat,fear,"[[""reveals nearly one-third of assessed""]]",reveals nearly one-third of assessed,15,21,3
105,nobody was a more complete russian collusion stooge than the u.s. media,disgust,"[[""nobody was a more complete russian collusion stooge than the u.s. media""]]",nobody was a more complete russian collusion stooge than the u.s. media,1,22,2
4823,trump’s latest threat risks prolonging trade war,negative_anticipation_including_pessimism,"[[""risks prolonging trade war"",""latest threat risks prolonging trade war""]]",risks prolonging trade war,7,12,7
2270,democrats unite to condemn trump tweet linking ilhan omar and 9/11,anger,"[[""tweet linking ilhan omar and 9/11""]]",tweet linking ilhan omar and 9/11,11,21,0
740,"intelligence scholar sues cambridge academic, u.s. news outlets over reports on flynn links",negative_surprise,"[[""u.s. news outlets over reports on flynn links""]]",u.s. news outlets over reports on flynn links,10,21,8
