,headline,dominant_emotion,cause,cause_span,start_index,end_index
494,podcast: how to achieve racial unity in america,annoyance,"[[""racial unity in america""]]",racial unity in america,6,11
537,these horrifying family separation cases have all happened since trump “ended” the policy,sadness,"[[""trump “ended” the policy""]]",trump “ended” the policy,12,18
2515,florida man describes 'shocking' alligator attack on 5-year-old granddaughter in lake,negative_surprise,"[[""alligator attack on 5-year-old granddaughter in lake""]]",alligator attack on 5-year-old granddaughter in lake,9,21
1837,don't let food nationalism spoil your meal,disgust,"[[""spoil your meal""]]",spoil your meal,7,11
3945,youtube won't ban steven crowder. vox reporter behind banning campaign has meltdown.,anger,"[[""vox reporter behind banning campaign has""]]",vox reporter behind banning campaign has,14,20
1161,the oberlin trial is a blueprint for fighting back,negative_surprise,"[[""the oberlin trial is a blueprint for fighting back""]]",the oberlin trial is a blueprint for fighting back,1,12
2940,"in elvia wilk’s “oval,” earth, capitalism, and the human species sink toward doom",sadness,"[[""human species sink toward doom""]]",human species sink toward doom,19,23
927,"angela merkel responds to being labeled trump's 'punching bag'; he 'has his opinions, i have mine'",annoyance,"[[""he 'has his opinions, i have mine'""]]","he 'has his opinions, i have mine'",19,28
1213,u.s. and turkey spar over syria safe zone,anger,"[[""spar over syria safe zone""]]",spar over syria safe zone,7,14
3724,judge blocks doj's attempt to switch lawyers in the census citizenship question case,anger,"[[""switch lawyers in the census citizenship question case""]]",switch lawyers in the census citizenship question case,9,16
3480,"ice opens transgender housing unit for illegals – teaches self-grooming, provides hormone therapy on taxpayer dime",positive_surprise,"[[""teaches self-grooming, provides hormone therapy on taxpayer dime""]]","teaches self-grooming, provides hormone therapy on taxpayer dime",10,24
1093,pelosi vows “ironclad case” against trump as cries to “impeach” erupt during speech,annoyance,"[[""cries to “impeach” erupt during speech""]]",cries to “impeach” erupt during speech,15,25
4544,deadline passes for publication of gender pay figures,negative_surprise,"[[""publication of gender pay figures""]]",publication of gender pay figures,4,8
4827,"swac media day: grambling's confidence, site of conference championship game, more",trust,"[[""site of conference championship""]]",site of conference championship,13,16
4947,sen. durbin: mueller testimony won't likely bring breakthroughs,negative_anticipation_including_pessimism,"[[""mueller testimony won't likely bring breakthroughs""]]",mueller testimony won't likely bring breakthroughs,8,18
4974,kevin spacey questioned by london police over uk sex assault claims,negative_surprise,"[[""questioned by london police over uk sex assault claims""]]",questioned by london police over uk sex assault claims,6,15
21,europe’s dream: escaping the dictatorship of the dollar,positive_anticipation_including_optimism,"[[""escaping the dictatorship of the dollar""]]",escaping the dictatorship of the dollar,7,12
1592,[non-nrsro] softbank corp. a mobile telephone terminal credit trust series 2019-3 -- moody’s assigns definitive rating to sb’s handset receivables abs (japanese),trust,"[[""moody’s assigns definitive rating to sb’s handset receivables abs (japanese)""]]",moody’s assigns definitive rating to sb’s handset receivables abs (japanese),25,49
3078,"in camp of diehard is supporters, some women express regrets",sadness,"[[""some women express regrets"",""in camp of diehard is supporters, some women express regrets""]]",some women express regrets,9,13
4444,u.s.-iran tensions rise ahead of anniversary of deal pullout,negative_anticipation_including_pessimism,"[[""tensions rise ahead of anniversary of deal pullout""]]",tensions rise ahead of anniversary of deal pullout,8,16
997,fresh calls for trump’s impeachment after mueller statement,annoyance,"[[""mueller statement""]]",mueller statement,12,15
3514,"at rally, trump accuses democrats of ‘defrauding the public with ridiculous bulls**t’",disgust,"[[""defrauding the public with ridiculous bulls**t"",""trump accuses democrats of ‘defrauding the public with ridiculous bulls**t’""]]",defrauding the public with ridiculous bulls**t,13,24
916,abbvie to acquire botox maker allergan for $63bn,positive_surprise,"[[""acquire botox maker allergan for $63bn""]]",acquire botox maker allergan for $63bn,5,17
2351,"threats against members increasing, capitol police chief says",fear,"[[""threats against members increasing""]]",threats against members increasing,1,4
3863,nigel farage makes trumpian trouble with his new brexit party,disgust,"[[""trouble with his new brexit party""]]",trouble with his new brexit party,9,16
4081,l.a. rapper nipsey hussle’s murder is a familiar refrain for americans,negative_anticipation_including_pessimism,"[[""murder is a familiar refrain for americans""]]",murder is a familiar refrain for americans,14,22
2661,the 8 best no-fee credit cards to open in 2019,guilt,"[[""no-fee credit cards to open in 2019""]]",no-fee credit cards to open in 2019,4,12
2296,jacinda ardern’s ‘no notoriety’ response to new zealand mosque shootings has paid off,positive_surprise,"[[""‘no notoriety’ response to new zealand mosque shootings has paid off""]]",‘no notoriety’ response to new zealand mosque shootings has paid off,9,24
1903,robert mueller just pulled off a victory in plain sight and almost everyone missed it,joy,"[[""pulled off a victory""],[""victory in plain sight and almost everyone missed it""]]",pulled off a victory,7,10
1550,"to spike or not to spike, that is the question! new refreshers and dim sum arrive at p.f. chang's april 11th",positive_surprise,"[[""new refreshers and dim sum arrive at p.f. chang's april 11th""]]",new refreshers and dim sum arrive at p.f. chang's april 11th,13,34
1033,"jordan klepper, wyatt cenac, and the citizen journalism of class clowns made good",negative_surprise,"[[""class clowns made good""]]",class clowns made good,20,24
2147,austria's far-right vice chancellor resigns after video sparks corruption scandal,shame,"[[""resigns after video sparks corruption scandal""]]",resigns after video sparks corruption scandal,11,17
4998,100 years on: the picture that changed our view of the universe,positive_surprise,"[[""the picture that changed our view of the universe""]]",the picture that changed our view of the universe,5,13
2687,duke and duchess of sussex set to be given a suite of rooms at buckingham palace as a london base,positive_surprise,"[[""suite of rooms at buckingham palace as a london base""]]",suite of rooms at buckingham palace as a london base,14,26
463,local fox anchor caught on video dropping f-bomb as she apparently blasts station execs for asking her to hide her presence on conservative social media site,negative_surprise,"[[""blasts station execs""]]",blasts station execs,14,19
2854,state department admits over 30 security breaches related to clinton emails,guilt,"[[""30 security breaches related to clinton emails""]]",30 security breaches related to clinton emails,5,14
3399,the very american case of robert kraft and a florida prostitution sting,negative_surprise,"[[""robert kraft and a florida prostitution sting""]]",robert kraft and a florida prostitution sting,8,18
4583,nordea bank says its ceo will retire by end-2020,negative_surprise,"[[""ceo will retire by end-2020""]]",ceo will retire by end-2020,6,13
267,deputy surprises kid with new toys after his were stolen,annoyance,"[[""kid with new toys after his were stolen""]]",kid with new toys after his were stolen,3,10
1194,trump hails african-american contributions to america amid battle with black critics,positive_anticipation_including_optimism,"[[""contributions to america amid battle with black critics""]]",contributions to america amid battle with black critics,13,22
3424,undercover with the eco-activist group extinction rebellion,negative_surprise,"[[""eco-activist group extinction rebellion""]]",eco-activist group extinction rebellion,4,10
2016,kamala harris says trump’s attempt to help black rapper trapped in sweden is ‘misuse of power’,anger,"[[""black rapper""]]",black rapper,15,16
3636,"u.k. in crisis: facing no deal, parliament votes on brexit after rejecting may's plan for third time",annoyance,"[[""parliament votes on brexit after rejecting may's plan for third time""]]",parliament votes on brexit after rejecting may's plan for third time,12,26
768,lawmaker skipping time off for cancer recovery to block anti-abortion bill: “i wouldn’t be able to live with myself”,pride,"[[""anti-abortion""]]",anti-abortion,12,14
4553,facebook’s cryptocurrency hopes hit a wall in washington,negative_surprise,"[[""cryptocurrency hopes hit a wall in washington""]]",cryptocurrency hopes hit a wall in washington,5,17
2421,"pentagon takes action after two us soldiers detained, disarmed by mexican soldiers in us territory",annoyance,"[[""disarmed by mexican soldiers in us territory""]]",disarmed by mexican soldiers in us territory,12,22
1334,"‘great, now the gop is makin’ it rain’! aoc quick to blame repubs for flooding, gets schooled on how weather works",joy,"[[""aoc quick to blame repubs for flooding, gets schooled on how weather works""]]","aoc quick to blame repubs for flooding, gets schooled on how weather works",16,33
3239,three drugmakers settle with california over deals to keep generic medications off the market,positive_surprise,"[[""california over deals to keep generic medications off the market""]]",california over deals to keep generic medications off the market,6,19
3463,cbs: trump’s speeches ‘almost identical’ to manifesto of crazed killer,negative_surprise,"[[""manifesto of crazed killer""]]",manifesto of crazed killer,14,19
569,2020 democrat: pelosi is 'juggling a caucus that's divided',annoyance,"[[""pelosi is 'juggling a caucus that's divided'""]]",pelosi is 'juggling a caucus that's divided',5,19
1109,protesters target joe biden on deportation and bill de blasio on eric garner during democratic debate,annoyance,"[[""democratic debate""]]",democratic debate,22,23
15,el salvador’s president says his country — not trump — is responsible for migrant deaths in rio grande,sadness,"[[""is responsible for migrant deaths in rio grande""]]",is responsible for migrant deaths in rio grande,17,26
3139,developers want to destroy chicago. we won’t let them.,anger,"[[""want to destroy chicago"",""we won’t let them.""]]",want to destroy chicago,2,7
158,the navy is officially taking ufos seriously,negative_surprise,"[[""ufos seriously""]]",ufos seriously,6,9
4679,jane eyre is a startlingly modern heroine. a new ballet shows why.,positive_surprise,"[[""startlingly modern heroine""]]",startlingly modern heroine,7,10
1818,bennet meets polling criterion for first democratic debates,positive_surprise,"[[""meets polling criterion for first democratic debates""]]",meets polling criterion for first democratic debates,3,9
2067,"growing number of latinos broaden labor's mission, political power",joy,"[[""broaden labor's mission, political power""]]","broaden labor's mission, political power",7,15
2342,"tv comic takes lead in ukraine election first round, early results show",positive_surprise,"[[""tv comic takes lead in ukraine election first round""]]",tv comic takes lead in ukraine election first round,1,12
425,england’s victory over scotland overshadowed by layla guscoth injury,sadness,"[[""overshadowed by layla guscoth injury"",""layla guscoth injury""]]",overshadowed by layla guscoth injury,11,21
787,most-active gold futures end the month about 2% higher,positive_surprise,"[[""end the month about 2% higher""]]",end the month about 2% higher,7,13
732,hong kong protesters storm legislature on anniversary of city's return to chinese rule,annoyance,"[[""return to chinese rule""]]",return to chinese rule,14,18
4892,the republicans are dead to planet earth,disgust,"[[""are dead to planet earth""]]",are dead to planet earth,4,8
457,jon miller: mueller findings derail 2020 democrats' campaign schemes,anger,"[[""2020 democrats' campaign schemes""]]",2020 democrats' campaign schemes,12,17
1015,"irs audits hit the working poor, african americans harder",sadness,"[[""irs audits hit the working poor""]]",irs audits hit the working poor,1,8
3544,gay man who ‘came of age’ in the '70s says that today’s gender fluidity and orientation confuses — and enrages — even him,anger,"[[""gender fluidity and orientation confuses""]]",gender fluidity and orientation confuses,18,25
4580,nyt: new details emerge about connection of bidens to ukrainian corruption scandal,negative_surprise,"[[""ukrainian corruption""]]",ukrainian corruption,13,16
193,us intel: saudi's missile program got help from china,trust,"[[""saudi's missile program got help from china""]]",saudi's missile program got help from china,5,15
1827,"couple seeks a strict nanny who dresses up like disney princesses for $52,000",positive_surprise,"[[""strict nanny who dresses up like disney princesses for $52,000""]]","strict nanny who dresses up like disney princesses for $52,000",4,20
2355,trump admin rejecting requests from u.s. embassies to fly pride flag: report,disgust,"[[""embassies to fly pride flag: report""]]",embassies to fly pride flag: report,12,20
4122,"shocking image from syria shows girl, 5, clinging to sister's t-shirt at bombed building",negative_surprise,"[[""5, clinging to sister's t-shirt at bombed building""]]","5, clinging to sister's t-shirt at bombed building",10,22
3519,celebrations as puerto rico governor rosselló resigns,negative_surprise,"[[""celebrations as puerto rico governor rosselló resigns""]]",celebrations as puerto rico governor rosselló resigns,1,14
2865,the anxious triumph by donald sassoon – why capitalism leads to crisis,positive_anticipation_including_optimism,"[[""why capitalism leads to crisis""]]",why capitalism leads to crisis,11,15
1878,meet the data institute class of 2019,positive_surprise,"[[""data institute class of 2019""]]",data institute class of 2019,3,7
2410,here are 7 of the wildest moments and lies from trump’s profane and uninhibited campaign rally,annoyance,"[[""here are 7 of the wildest""]]",here are 7 of the wildest,1,7
4258,"pelosi hits back at trump's attacks on cummings, calls kushner a 'slumlord'",negative_surprise,"[[""calls kushner a 'slumlord'""],[""attacks""]]",calls kushner a 'slumlord',17,26
814,r. kelly protegee says she's ready to testify against him again as new alleged underage sex tape surfaces,trust,"[[""new alleged underage sex tape surfaces""]]",new alleged underage sex tape surfaces,19,25
750,it’s not just bieber: a totally non-comprehensive but important list of places instagram influencers have ruined,sadness,"[[""a totally non-comprehensive but important list of places instagram influencers have ruined""]]",a totally non-comprehensive but important list of places instagram influencers have ruined,10,26
1356,"adw capital demands public strategic alternatives process, announces its own public investor meeting to discuss the mismanagement of select interior concepts and encourages all investors to refrai...",positive_surprise,"[[""public""]]",public,5,5
4150,tuberculosis. chicken pox. traumatized: 5 updates on immigrant youth shelters in illinois.,sadness,"[[""5 updates on immigrant youth shelters in illinois""]]",5 updates on immigrant youth shelters in illinois,10,19
1405,drivers can get cheaper collision car insurance following the next tips,trust,"[[""car insurance""]]",car insurance,6,7
3302,buttigieg: 'polite' people can still advance policies that hurt 'you and your family',annoyance,"[[""advance policies that hurt 'you and your family""]]",advance policies that hurt 'you and your family,11,19
3464,cafeteria worker fired for giving student free food gets job offer from celebrity chef,positive_surprise,"[[""free food gets job offer from celebrity chef"",""giving student free food gets job offer from celebrity chef""]]",free food gets job offer from celebrity chef,7,14
1352,a senator wants to have a greater impact. so he’s leaving the senate.,pride,"[[""impact. so he’s leaving the""],[""so he’s leaving the senate.""]]",impact. so he’s leaving the,8,15
4814,only biden can save the democrats from total embarrassment,shame,"[[""only biden can save the democrats from total embarrassment""]]",only biden can save the democrats from total embarrassment,1,11
1017,"if britain leaves the eu, it will be vulnerable to trump’s whims",negative_surprise,"[[""will be vulnerable to trump’s whims""]]",will be vulnerable to trump’s whims,11,21
4060,"friends of australian woman, 35, found dead in her london flat raise money to bring her body home",sadness,"[[""found dead in her london flat raise money to bring her body home""]]",found dead in her london flat raise money to bring her body home,10,23
2988,firefighter ran 18 miles on broken foot in london marathon,pride,"[[""ran 18 miles on broken foot in london marathon""]]",ran 18 miles on broken foot in london marathon,3,12
2392,dan fagan: triple shooting near new orleans school yet another sign of city's crime problem,negative_surprise,"[[""triple shooting near new orleans school yet another sign of city's crime problem"",""triple shooting near new orleans school""]]",triple shooting near new orleans school yet another sign of city's crime problem,6,22
3278,"acosta resigns over epstein plea deal, says it isn’t ‘fair’ to be ‘the focus’",negative_anticipation_including_pessimism,"[[""resigns over epstein plea deal"",""epstein plea deal, says it isn’t ‘fair’ to be ‘the focus’""]]",resigns over epstein plea deal,4,11
579,cyprus' new police chief apologizes over serial killer case,guilt,"[[""over serial killer case""]]",over serial killer case,11,14
3676,buttigieg: questions on third-trimester abortions are hypotheticals,negative_anticipation_including_pessimism,"[[""abortions are hypotheticals""]]",abortions are hypotheticals,11,18
2420,nra: supreme court should move forward on gun case despite nyc attempt to undercut suit,trust,"[[""gun case despite nyc attempt to undercut suit""]]",gun case despite nyc attempt to undercut suit,10,20
43,"holiday inn owner to ditch mini toiletries from 5,000 hotels",negative_surprise,"[[""ditch mini toiletries from 5,000 hotels""]]","ditch mini toiletries from 5,000 hotels",5,13
1398,david knight show: comey threatens trump indictment post-presidency,fear,"[[""comey threatens trump indictment post-presidency""]]",comey threatens trump indictment post-presidency,6,14
3364,notre dame basketball coach calls for more women in power: 'time's up. it is our turn',trust,"[[""calls for more women in power: 'time's up. it is our turn'"",""women in power: 'time's up. it is our turn'""]]",calls for more women in power: 'time's up. it is our turn',7,24
2259,china drank the most beer in the world in 2018,positive_surprise,"[[""drank the most beer in the world in 2018""]]",drank the most beer in the world in 2018,3,11
1241,'creepy uncle joe': glenn beck recounts biden's long history of unwanted touching,disgust,"[[""glenn beck recounts biden's long history of unwanted touching""]]",glenn beck recounts biden's long history of unwanted touching,8,22
3784,top 10 books set in the american midwest,joy,"[[""set in the american midwest""]]",set in the american midwest,4,12
3348,loss-making tech companies are floating like it’s 1999,negative_anticipation_including_pessimism,"[[""loss-making tech companies are floating like it’s 1999"",""are floating like it’s 1999""]]",loss-making tech companies are floating like it’s 1999,1,12
670,bahaha! eric swalwell talking smack about barr and how they will ‘hold trump accountable’ is even funnier now (watch),joy,"[[""is even funnier now (watch)""],[""‘hold trump""]]",is even funnier now (watch),27,34
2307,moss restaurant iceland: at the cutting edge of new nordic cuisine,positive_anticipation_including_optimism,"[[""at the cutting edge of new nordic cuisine""]]",at the cutting edge of new nordic cuisine,6,14
1452,israel’s netanyahu set to win fifth term after vow to annex west bank,positive_anticipation_including_optimism,"[[""vow to annex west bank""]]",vow to annex west bank,15,20
589,here’s how many assault-style weapons have been returned in new zealand,joy,"[[""have been returned in new zealand""],[""weapons have been returned""]]",have been returned in new zealand,10,17
1983,it is unclear whether the new irs reform bill is a disastrous giveaway to turbotax,negative_anticipation_including_pessimism,"[[""irs reform bill is a disastrous giveaway to turbotax""]]",irs reform bill is a disastrous giveaway to turbotax,7,20
30,full coverage: the manson murders — 50 years later,negative_anticipation_including_pessimism,"[[""full coverage: the manson murders — 50 years later""]]",full coverage: the manson murders — 50 years later,1,11
2717,5-year-old girl forms unbreakable bond with a duck,love_including_like,"[[""unbreakable bond with a duck""]]",unbreakable bond with a duck,8,14
1810,amazon’s prime day taylor swift concert shows it wants to sell you more than just stuff,anger,"[[""sell you more than just stuff""]]",sell you more than just stuff,17,22
2555,politico: democrats' daca amnesty stalls amid political fear of migrant crime,fear,"[[""migrant crime""]]",migrant crime,19,20
4193,trump will have to defend his disastrous failures,negative_anticipation_including_pessimism,"[[""disastrous failures""]]",disastrous failures,8,9
3034,hear beyoncé’s surprise new song ‘before i let go’,positive_surprise,"[[""new song ‘before i let go""]]",new song ‘before i let go,8,14
17,emojis that don’t exist but should,positive_anticipation_including_optimism,"[[""that don’t exist but should""]]",that don’t exist but should,5,11
4527,a judge tossed a chicago suburb’s “assault rifle” ban,negative_surprise,"[[""chicago suburb’s “assault rifle” ban""]]",chicago suburb’s “assault rifle” ban,5,15
370,"england would be better off without scotland, tory candidate said",sadness,"[[""tory candidate said""]]",tory candidate said,13,16
985,"fed is prepared to act to save u.s. economy from trade war, powell says",positive_anticipation_including_optimism,"[[""fed is prepared to act to save u.s. economy from trade war""]]",fed is prepared to act to save u.s. economy from trade war,1,15
607,"sri lanka muslims, refugees fear backlash from easter attack",fear,"[[""refugees fear backlash from easter attack""]]",refugees fear backlash from easter attack,10,17
2459,donald trump’s deranged supporters circle the drain,disgust,"[[""deranged supporters circle the drain""]]",deranged supporters circle the drain,7,13
4902,new york times report on trump’s taxes may prompt fraud investigation,negative_anticipation_including_pessimism,"[[""may prompt fraud investigation""]]",may prompt fraud investigation,12,16
549,trump denies trying to restart family separations while blaming obama for policy – live,guilt,"[[""obama for policy""]]",obama for policy,13,17
4263,racist texts from border agent accused of hitting migrant with truck revealed,disgust,"[[""truck revealed""]]",truck revealed,11,12
1653,"economic democracy, if we can keep it",positive_anticipation_including_optimism,"[[""if we can keep it""]]",if we can keep it,4,8
3548,"holy hypocrisy, batman! alyssa milano defends ‘super-affectionate’ joe biden, confesses to some problematic behavior of her own",shame,"[[""‘super-affectionate’ joe biden, confesses to some problematic behavior of her own""]]","‘super-affectionate’ joe biden, confesses to some problematic behavior of her own",19,37
1941,"as us communities resist ice, private prison companies are cashing in",disgust,"[[""private prison companies are cashing in""]]",private prison companies are cashing in,7,13
2321,ocasio-cortez accuses border patrol of telling illegal immigrant women to drink from toilets (video) …update: wrong again,guilt,"[[""drink from toilets""]]",drink from toilets,19,21
4813,"obscure makers of generic drugs played central role in opioid crisis, records show",negative_surprise,"[[""played central role in opioid""]]",played central role in opioid,6,12
3575,media attorney charles harder named to variety's 2019 legal impact report,negative_surprise,"[[""named to variety's 2019 legal impact report""]]",named to variety's 2019 legal impact report,7,15
4286,trump asserts executive privilege to block release of full mueller report,negative_surprise,"[[""block release of full mueller report""]]",block release of full mueller report,7,14
4507,donald trump’s love affair with kim jong un reaches a whole new low,love_including_like,"[[""kim jong""]]",kim jong,10,13
4984,the latest: prosecutors want cruise ship captain arrested,negative_anticipation_including_pessimism,"[[""the latest: prosecutors want cruise ship captain arrested""]]",the latest: prosecutors want cruise ship captain arrested,1,9
3719,ingeborg bachmann’s “malina” is the truest portrait of female consciousness since sappho,positive_anticipation_including_optimism,"[[""is the truest portrait of female consciousness since sappho""]]",is the truest portrait of female consciousness since sappho,14,25
24,figure linked to trump transition charged with transporting child pornography,guilt,"[[""transporting child pornography""]]",transporting child pornography,9,11
4249,"military duped into buying fake, chinese-made military gear",negative_surprise,"[[""military duped into buying fake, chinese-made military gear""]]","military duped into buying fake, chinese-made military gear",1,13
2122,man's stressed friend: dogs feel owners' anxiety,sadness,"[[""dogs feel owners' anxiety""]]",dogs feel owners' anxiety,7,11
3190,nipsey hussle’s devastated bodyguard j-roc quits security business,sadness,"[[""bodyguard j-roc quits security business""]]",bodyguard j-roc quits security business,10,18
1559,trump says he is not seeking ‘regime change’ in iran,annoyance,"[[""he is not seeking ‘regime change’ in iran""]]",he is not seeking ‘regime change’ in iran,4,14
1107,prisoners tell us how tommy robinson will actually be treated in jail,annoyance,"[[""tell us how tommy robinson will actually be treated in jail""]]",tell us how tommy robinson will actually be treated in jail,2,14
4380,the criminalization of women’s bodies is all about conservative male power,negative_surprise,"[[""conservative male power""]]",conservative male power,12,14
3462,cbs portrays human smugglers as humanitarians in misguided border coverage,disgust,"[[""human smugglers as humanitarians in misguided border coverage""]]",human smugglers as humanitarians in misguided border coverage,4,17
1893,"premier league transfer news: hazard, guardiola, insigne, eriksen, sancho",joy,"[[""transfer news: hazard, guardiola, insigne, eriksen, sancho"",""premier league transfer news""]]","transfer news: hazard, guardiola, insigne, eriksen, sancho",3,22
4441,trump asked if u.s. is going to war with iran. here's his response.,fear,"[[""u.s. is going to war with iran. here's his response""]]",u.s. is going to war with iran. here's his response,5,21
1059,manny pacquiao might be making a terrible mistake,negative_anticipation_including_pessimism,"[[""might be making a terrible mistake""]]",might be making a terrible mistake,7,12
587,full-term abortion clinic injures woman during botched abortion – report,anger,"[[""full-term abortion clinic injures woman during botched abortion – report0""]]",full-term abortion clinic injures woman during botched abortion – report,1,16
2547,no more deaths trial opens as more bodies discovered along arizona-mexico border,disgust,"[[""more bodies discovered along arizona-mexico border""]]",more bodies discovered along arizona-mexico border,7,18
4929,losing religion and finding ecstasy in houston,joy,"[[""losing religion and finding ecstasy in houston"",""losing religion and finding ecstasy""]]",losing religion and finding ecstasy in houston,1,9
1690,"joy behar: republicans aren't patriotic; they're disrespectful to veterans, lock up children!",anger,"[[""they're disrespectful to veterans, lock up children!""]]","they're disrespectful to veterans, lock up children!",12,26
1829,daily kos to partner with netroots nation for presidential candidate forum in philadelphia,positive_surprise,"[[""presidential candidate""]]",presidential candidate,11,12
4873,now hillary clinton’s loss is being blamed on jon stewart,guilt,"[[""loss is being blamed on jon stewart"",""being blamed on jon stewart""]]",loss is being blamed on jon stewart,9,17
1020,immigrants in us military denied citizenship more often than civilians,negative_surprise,"[[""in us military denied citizenship more often than civilians"",""denied citizenship more often than civilians""]]",in us military denied citizenship more often than civilians,2,10
3191,nolte: new york times wants ban on 'sexist' air conditioning,positive_surprise,"[[""'sexist' air conditioning""]]",'sexist' air conditioning,12,17
1574,un agente de la patrulla fronteriza revela la realidad de ser guardia de niños migrantes,negative_surprise,"[[""revela la realidad de ser guardia de niños migrantes""]]",revela la realidad de ser guardia de niños migrantes,12,29
1103,president trump: just another jailer of the cuban people,shame,"[[""just another jailer of the cuban people""]]",just another jailer of the cuban people,5,13
4994,youtube beauty influencer world erupts over gummy vitamins scandal,negative_surprise,"[[""gummy vitamins scandal""]]",gummy vitamins scandal,12,16
1164,the spd must change course or die,negative_surprise,"[[""must change course or die""]]",must change course or die,5,9
825,senate passes 2-year budget deal and sends it to trump,positive_anticipation_including_optimism,"[[""budget deal and sends it to trump""]]",budget deal and sends it to trump,6,13
610,survivor of wwii internment camp speaks out: japanese americans know the trauma of child detention,sadness,"[[""japanese americans know the trauma of child detention""]]",japanese americans know the trauma of child detention,13,24
3346,key swing district voters want candidates willing to take on big pharma: americans are ‘tired of getting ripped off’,negative_surprise,"[[""big pharma: americans are ‘tired of getting""]]",big pharma: americans are ‘tired of getting,11,23
1141,stephen colbert hits long-shot dems for spewing ‘republican talking points’ at cnn debate,annoyance,"[[""talking points’ at cnn debate""]]",talking points’ at cnn debate,17,23
2377,“ban me motherf***er” – snoop dogg blasts facebook/instagram censorship,anger,"[[""censorship""]]",censorship,25,25
4543,dj khaled played himself with an energy drink bundle scandal,negative_surprise,"[[""energy drink bundle scandal""]]",energy drink bundle scandal,10,13
739,india’s futile war on open defecation,negative_anticipation_including_pessimism,"[[""india’s futile war on open defecation"",""open defecation""]]",india’s futile war on open defecation,1,12
4468,leopard kills 2-year-old boy in kruger national park,sadness,"[[""2-year-old boy""]]",2-year-old boy,3,8
1351,a remote australian archipelago is home to roughly 600 people and 414 million pieces of trash,sadness,"[[""home to roughly 600 people and 414 million pieces of trash"",""is home to roughly 600 people and 414 million pieces of trash""]]",home to roughly 600 people and 414 million pieces of trash,8,19
4196,barclays vows to hit targets after ‘challenging’ quarter,trust,"[[""vows to hit targets after ‘challenging’ quarter"",""hit targets after ‘challenging’ quarter""]]",vows to hit targets after ‘challenging’ quarter,5,13
2741,"america’s farmers, reeling from floods, face a new problem: no water",negative_surprise,"[[""reeling from floods, face a new problem: no water""]]","reeling from floods, face a new problem: no water",8,19
2918,63-year old dance instructor: 'exercise saved my life',positive_surprise,"[[""exercise saved my life""]]",exercise saved my life,9,12
1439,huckabee says sarah sanders running for governor 'could happen',positive_anticipation_including_optimism,"[[""huckabee says sarah sanders running for governor 'could happen'""]]",huckabee says sarah sanders running for governor 'could happen',1,16
2288,house democrats threaten barr with contempt if he refuses to provide unredacted mueller report,anger,"[[""contempt if he refuses to provide unredacted mueller report""]]",contempt if he refuses to provide unredacted mueller report,8,21
3192,novak djokovic sails past zverev and into semi-final with dominic thiem,joy,"[[""zverev and into semi-final with dominic thiem""]]",zverev and into semi-final with dominic thiem,9,23
3759,romanian political spat comes to the fore at eu summit,positive_surprise,"[[""comes to the fore at eu summit""]]",comes to the fore at eu summit,6,13
1118,rep. ilhan omar slams 'bigoted' trump administration for barring pride flag from foreign embassies,disgust,"[[""barring pride flag from foreign embassies""]]",barring pride flag from foreign embassies,18,26
3237,this ‘uncensored’ right-wing facebook clone allows racism but not nudity,disgust,"[[""this ‘uncensored’ right-wing facebook clone allows racism but not nudity""]]",this ‘uncensored’ right-wing facebook clone allows racism but not nudity,1,19
3119,capital one and github are being sued over allegations of not doing enough to protect customers after a massive data breach that affected over 100 million people,anger,"[[""massive data breach that affected over 100 million people""]]",massive data breach that affected over 100 million people,21,29
1851,gilroy shooter's motive may never be known as investigation finds few clues,negative_surprise,"[[""investigation finds few clues""]]",investigation finds few clues,13,16
1898,rapper 21 savage donates $25k to organization that helped him during ice arrest,positive_surprise,"[[""donates $25k to organization that helped him during ice arrest""]]",donates $25k to organization that helped him during ice arrest,4,16
4300,uk braves us ire with tax on tech companies,anger,"[[""with tax on tech companies""]]",with tax on tech companies,7,11
2721,"scouted: toms added four issues to its charitable portfolio, from ending gun violence to access to safe water",love_including_like,"[[""ending gun violence to access to safe water""]]",ending gun violence to access to safe water,15,22
1858,here’s why successful impeachment doesn’t necessarily mean a senate conviction,trust,"[[""doesn’t necessarily mean a senate conviction""]]",doesn’t necessarily mean a senate conviction,9,16
2742,amir khan's parents say boxer hasn't spoken them for six months,sadness,"[[""boxer hasn't spoken them for six months""]]",boxer hasn't spoken them for six months,9,17
1438,"howard schultz takes a 'detour' in travels across america, postponing any announcement on whether or not he'll actually run for president",sadness,"[[""postponing any announcement on whether or not he'll actually run for president""]]",postponing any announcement on whether or not he'll actually run for president,19,34
3334,"happy birthday, simpsons, but i wish you were dead",joy,"[[""but i wish you were dead""]]",but i wish you were dead,8,13
2047,giant jellyfish the size of a human spotted by divers,fear,"[[""spotted by divers"",""giant jellyfish the size of a human""]]",spotted by divers,10,12
3587,pentagon to 'loosen the rules' on troops at the southern border,negative_anticipation_including_pessimism,"[[""at the southern border""]]",at the southern border,13,16
1276,joe scarborough to trump for calling him 'morning psycho' -- 'thank you so much for watching',disgust,"[[""trump for calling him 'morning psycho'""]]",trump for calling him 'morning psycho',6,16
3349,maga-hat stealing protester told campus police she felt unsafe but the cops weren't having it,negative_surprise,"[[""she felt unsafe but the cops weren't having it""]]",she felt unsafe but the cops weren't having it,11,22
